Sat 6 Raw Estimation History
"Data Order is: X Estimate, Y Estimate, Z Estimate, Time"
[ 0.  0.  0. 11.],[ 0.  0.  0. 11.],[ 0.  0.  0. 11.],[ 0.  0.  0. 11.]
[ 0.   0.   0.  11.5],[ 0.   0.   0.  11.5],[ 0.   0.   0.  11.5],[ 0.   0.   0.  11.5]
[-1.27693330e+00 -5.76326383e+01  6.37472085e+03  1.20000000e+01],[2.83153758e+00 6.02723009e+01 6.37775956e+03 1.20000000e+01],[ 2.41875036e+00 -1.18366596e+02  6.37783819e+03  1.20000000e+01],[ 0.  0.  0. 12.]
[-3.32208307e+00 -6.84693553e+01  6.37601964e+03  1.25000000e+01],[1.14453304e+00 6.27930780e+01 6.37846621e+03 1.25000000e+01],[-7.91916035e-01 -1.23180595e+02  6.38042445e+03  1.25000000e+01],[7.55587878e-01 1.24231327e+02 6.37522025e+03 1.25000000e+01]
[ 9.81593588e-02 -5.79144382e+01  6.37652135e+03  1.30000000e+01],[1.61750446e+00 6.51485197e+01 6.37743209e+03 1.30000000e+01],[-2.74972750e+00 -1.31742552e+02  6.37540058e+03  1.30000000e+01],[2.00787556e+00 1.32057693e+02 6.37574823e+03 1.30000000e+01]
[ 3.48147372e+00 -6.84439702e+01  6.37738811e+03  1.35000000e+01],[2.22247642e+00 6.58823401e+01 6.37317806e+03 1.35000000e+01],[ 6.93062596e-01 -1.34951981e+02  6.38032150e+03  1.35000000e+01],[-6.74091228e-01  1.32791255e+02  6.37301331e+03  1.35000000e+01]
[ 6.71158617e-02 -7.07599859e+01  6.36860388e+03  1.40000000e+01],[2.61239618e+00 7.41001021e+01 6.37778036e+03 1.40000000e+01],[ 2.79009825e-01 -1.39606759e+02  6.37610184e+03  1.40000000e+01],[   8.28593065  135.23772229 6374.06624271   14.        ]
[-2.57734756e+00 -7.03334399e+01  6.37791376e+03  1.45000000e+01],[3.15817812e+00 7.61802074e+01 6.37771954e+03 1.45000000e+01],[-3.65167099e+00 -1.45947656e+02  6.37789146e+03  1.45000000e+01],[-1.93609947e+00  1.48997443e+02  6.38264219e+03  1.45000000e+01]
[ 2.78157458e-01 -7.75392748e+01  6.37940690e+03  1.50000000e+01],[-2.70016430e+00  7.33643802e+01  6.37592941e+03  1.50000000e+01],[ 4.09886189e+00 -1.49616122e+02  6.37913747e+03  1.50000000e+01],[-3.04073749e+00  1.51086001e+02  6.37720798e+03  1.50000000e+01]
[-2.76449769e-01 -7.70898010e+01  6.37408852e+03  1.55000000e+01],[-5.07647427e-01  7.52660571e+01  6.38091216e+03  1.55000000e+01],[ 3.06585725e+00 -1.58085298e+02  6.37780585e+03  1.55000000e+01],[1.25280850e-01 1.53250528e+02 6.37583274e+03 1.55000000e+01]
[-2.25115437e+00 -8.14189131e+01  6.37414340e+03  1.60000000e+01],[7.26704163e-01 7.87010331e+01 6.38243565e+03 1.60000000e+01],[ 2.91014578e-01 -1.61050755e+02  6.37443125e+03  1.60000000e+01],[-1.83051731e+00  1.58714157e+02  6.37485938e+03  1.60000000e+01]
[-3.35029976e+00 -8.44286652e+01  6.37908314e+03  1.65000000e+01],[4.24706066e+00 8.34374351e+01 6.37389163e+03 1.65000000e+01],[-8.24918788e-01 -1.68737427e+02  6.38083078e+03  1.65000000e+01],[-3.59135203e+00  1.67714969e+02  6.37707032e+03  1.65000000e+01]
[ 2.40404194e+00 -8.72059591e+01  6.37881573e+03  1.70000000e+01],[3.56394684e+00 8.42079024e+01 6.37925939e+03 1.70000000e+01],[ 2.08344054e+00 -1.70929817e+02  6.37731737e+03  1.70000000e+01],[-3.65715886e-01  1.73665903e+02  6.37550026e+03  1.70000000e+01]
[-7.24445934e-01 -9.16432897e+01  6.37828770e+03  1.75000000e+01],[-1.44119137e+00  8.40942043e+01  6.38018849e+03  1.75000000e+01],[   6.74618553 -172.52381392 6378.55539194   17.5       ],[1.74742162e+00 1.73234823e+02 6.37459743e+03 1.75000000e+01]
[ 2.95191879e-01 -9.03753088e+01  6.37586360e+03  1.80000000e+01],[2.19587369e+00 8.59095053e+01 6.37845130e+03 1.80000000e+01],[ 3.74534418e-01 -1.83033370e+02  6.37293359e+03  1.80000000e+01],[3.21191813e+00 1.81366183e+02 6.37423291e+03 1.80000000e+01]
[-1.98611571e-01 -8.93095522e+01  6.37963923e+03  1.85000000e+01],[2.26647697e+00 8.88624910e+01 6.37315325e+03 1.85000000e+01],[ 1.91014862e+00 -1.88605312e+02  6.37394522e+03  1.85000000e+01],[-1.76177695e-01  1.85499900e+02  6.37816903e+03  1.85000000e+01]
[ 9.88236237e-01 -9.12766874e+01  6.37703247e+03  1.90000000e+01],[4.81210049e+00 9.44358702e+01 6.37818224e+03 1.90000000e+01],[-4.19450663e+00 -1.85456476e+02  6.37420173e+03  1.90000000e+01],[-1.23666955e+00  1.89353020e+02  6.37841203e+03  1.90000000e+01]
[-2.91124081e+00 -9.79165110e+01  6.37905115e+03  1.95000000e+01],[4.82198555e-01 9.91034357e+01 6.37905853e+03 1.95000000e+01],[-1.97114785e+00 -1.91889014e+02  6.37897348e+03  1.95000000e+01],[9.50537087e-01 1.93985622e+02 6.37464362e+03 1.95000000e+01]
[ 5.56879051e+00 -1.02040293e+02  6.37595696e+03  2.00000000e+01],[-6.60506363e-02  1.00343158e+02  6.37360020e+03  2.00000000e+01],[-1.73277580e+00 -2.03270050e+02  6.37639281e+03  2.00000000e+01],[2.01717744e+00 2.05019184e+02 6.37166873e+03 2.00000000e+01]
[-5.34090038e-01 -1.02132127e+02  6.37775664e+03  2.05000000e+01],[-1.29564300e+00  1.03825372e+02  6.37471761e+03  2.05000000e+01],[-1.35492672e+00 -2.08530583e+02  6.37268094e+03  2.05000000e+01],[  -7.63271787  208.29004472 6371.45221136   20.5       ]
[-4.39721977e-02 -1.07121355e+02  6.37464078e+03  2.10000000e+01],[-4.16170078e+00  1.05733990e+02  6.37422083e+03  2.10000000e+01],[ 1.46396712e-01 -2.10817040e+02  6.37429486e+03  2.10000000e+01],[2.99445372e+00 2.05793009e+02 6.37566061e+03 2.10000000e+01]
[ 2.25865583e+00 -1.04786985e+02  6.37448624e+03  2.15000000e+01],[4.66586696e+00 1.06317549e+02 6.37731479e+03 2.15000000e+01],[-3.16433072e+00 -2.16043543e+02  6.37246205e+03  2.15000000e+01],[-8.73713714e-01  2.16017437e+02  6.37358336e+03  2.15000000e+01]
[ 1.45887305e+00 -1.08296947e+02  6.37640853e+03  2.20000000e+01],[-2.83682675e+00  1.11364304e+02  6.37999741e+03  2.20000000e+01],[-2.62450604e+00 -2.19405866e+02  6.37805670e+03  2.20000000e+01],[-7.74904941e-01  2.16191993e+02  6.37128973e+03  2.20000000e+01]
[-2.27806269e+00 -1.19312981e+02  6.37585400e+03  2.25000000e+01],[-1.46542304e+00  1.11701999e+02  6.38165359e+03  2.25000000e+01],[-2.49742149e+00 -2.27769877e+02  6.37383978e+03  2.25000000e+01],[2.87848328e+00 2.25323524e+02 6.37216159e+03 2.25000000e+01]
[ 2.08873696e+00 -1.12641512e+02  6.38006269e+03  2.30000000e+01],[1.01104726e+00 1.16121558e+02 6.37388923e+03 2.30000000e+01],[ 1.34722933e-02 -2.28419187e+02  6.37340299e+03  2.30000000e+01],[5.97869211e-01 2.23670010e+02 6.37187067e+03 2.30000000e+01]
[ 9.31880734e-01 -1.21624117e+02  6.37975218e+03  2.35000000e+01],[1.46049534e+00 1.19375363e+02 6.37246289e+03 2.35000000e+01],[ 3.21071921e+00 -2.31248789e+02  6.37273169e+03  2.35000000e+01],[-3.03239152e+00  2.35294121e+02  6.37350513e+03  2.35000000e+01]
[-4.29782729e+00 -1.20920332e+02  6.37748285e+03  2.40000000e+01],[-1.96350575e+00  1.21992988e+02  6.37960795e+03  2.40000000e+01],[ 5.68210558e+00 -2.36781181e+02  6.37491227e+03  2.40000000e+01],[2.44272364e+00 2.40499537e+02 6.37236983e+03 2.40000000e+01]
[ 2.45388067e+00 -1.21357595e+02  6.38061108e+03  2.45000000e+01],[-1.48502971e+00  1.22230215e+02  6.37890659e+03  2.45000000e+01],[-6.59055875e-01 -2.47133871e+02  6.37337639e+03  2.45000000e+01],[4.56818306e+00 2.44480969e+02 6.37289007e+03 2.45000000e+01]
[-2.55427364e+00 -1.19119049e+02  6.38011102e+03  2.50000000e+01],[-1.36490348e+00  1.26404437e+02  6.37942150e+03  2.50000000e+01],[ 1.71309996e+00 -2.54290337e+02  6.37673137e+03  2.50000000e+01],[-2.97445306e+00  2.47025412e+02  6.36836324e+03  2.50000000e+01]
[ 2.65842249e-01 -1.31467040e+02  6.37311878e+03  2.55000000e+01],[1.04115157e+00 1.27955312e+02 6.37620858e+03 2.55000000e+01],[-3.44014157e+00 -2.56187062e+02  6.37416386e+03  2.55000000e+01],[1.28153883e+00 2.55654949e+02 6.37288877e+03 2.55000000e+01]
[ 2.46951215e+00 -1.28186247e+02  6.37864053e+03  2.60000000e+01],[5.11630783e-01 1.30294375e+02 6.37552258e+03 2.60000000e+01],[   8.00205041 -258.00295192 6373.95407555   26.        ],[-5.11244252e+00  2.54896097e+02  6.37145515e+03  2.60000000e+01]
[ 1.15930453e+00 -1.29492899e+02  6.37360467e+03  2.65000000e+01],[-1.86616197e+00  1.35527600e+02  6.37575112e+03  2.65000000e+01],[ 1.40026046e+00 -2.69678615e+02  6.37462957e+03  2.65000000e+01],[1.01488909e-01 2.68767804e+02 6.37408724e+03 2.65000000e+01]
[ 2.25888395e+00 -1.33912519e+02  6.37621022e+03  2.70000000e+01],[8.25454117e-01 1.33227806e+02 6.37918575e+03 2.70000000e+01],[ 1.11869775e+00 -2.73693650e+02  6.37293646e+03  2.70000000e+01],[3.03604422e+00 2.70399489e+02 6.37035965e+03 2.70000000e+01]
[ 5.55772106e-01 -1.39777935e+02  6.37768066e+03  2.75000000e+01],[-1.27728638e+00  1.41045958e+02  6.38189367e+03  2.75000000e+01],[-1.99911258e+00 -2.72723043e+02  6.37078172e+03  2.75000000e+01],[6.23939909e-01 2.75944867e+02 6.37790188e+03 2.75000000e+01]
[ 2.15068430e+00 -1.39939717e+02  6.37634789e+03  2.80000000e+01],[2.49625589e+00 1.36168893e+02 6.37551590e+03 2.80000000e+01],[-1.30128928e+00 -2.82619520e+02  6.37174747e+03  2.80000000e+01],[1.74682327e+00 2.79656155e+02 6.37218685e+03 2.80000000e+01]
[-8.07361485e-01 -1.43440880e+02  6.37604791e+03  2.85000000e+01],[1.52434471e+00 1.45751325e+02 6.37947857e+03 2.85000000e+01],[ 0.   0.   0.  28.5],[1.36395694e+00 2.84148020e+02 6.37180085e+03 2.85000000e+01]
[ 0.  0.  0. 29.],[-1.31074314e-02  1.43744919e+02  6.37441338e+03  2.90000000e+01],[ 0.  0.  0. 29.],[2.71107325e+00 2.91848243e+02 6.37226279e+03 2.90000000e+01]
[ 0.   0.   0.  29.5],[ 0.   0.   0.  29.5],[ 0.   0.   0.  29.5],[ 0.   0.   0.  29.5]
[ 0.  0.  0. 30.],[ 0.  0.  0. 30.],[ 0.  0.  0. 30.],[ 0.  0.  0. 30.]
