Sat 6 Raw Estimation History
"Data Order is: X Estimate, Y Estimate, Z Estimate, Time"
Targ 1 Estimates,Targ 2 Estimates,Targ 3 Estimates,Targ 4 Estimates
[0. 0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
[0.  0.  0.  0.5],[0.  0.  0.  0.5],[0.  0.  0.  0.5],[0.  0.  0.  0.5]
[0. 0. 0. 1.],[0. 0. 0. 1.],[0. 0. 0. 1.],[0. 0. 0. 1.]
[0.  0.  0.  1.5],[0.  0.  0.  1.5],[0.  0.  0.  1.5],[0.  0.  0.  1.5]
[0. 0. 0. 2.],[0. 0. 0. 2.],[0. 0. 0. 2.],[0. 0. 0. 2.]
[0.  0.  0.  2.5],[0.  0.  0.  2.5],[0.  0.  0.  2.5],[0.  0.  0.  2.5]
[0. 0. 0. 3.],[0. 0. 0. 3.],[0. 0. 0. 3.],[0. 0. 0. 3.]
[0.  0.  0.  3.5],[0.  0.  0.  3.5],[0.  0.  0.  3.5],[0.  0.  0.  3.5]
[0. 0. 0. 4.],[0. 0. 0. 4.],[0. 0. 0. 4.],[0. 0. 0. 4.]
[0.  0.  0.  4.5],[0.  0.  0.  4.5],[0.  0.  0.  4.5],[0.  0.  0.  4.5]
[0. 0. 0. 5.],[0. 0. 0. 5.],[0. 0. 0. 5.],[0. 0. 0. 5.]
[0.  0.  0.  5.5],[0.  0.  0.  5.5],[0.  0.  0.  5.5],[0.  0.  0.  5.5]
[0. 0. 0. 6.],[0. 0. 0. 6.],[0. 0. 0. 6.],[0. 0. 0. 6.]
[0.  0.  0.  6.5],[0.  0.  0.  6.5],[0.  0.  0.  6.5],[0.  0.  0.  6.5]
[0. 0. 0. 7.],[0. 0. 0. 7.],[0. 0. 0. 7.],[0. 0. 0. 7.]
[0.  0.  0.  7.5],[0.  0.  0.  7.5],[0.  0.  0.  7.5],[0.  0.  0.  7.5]
[0. 0. 0. 8.],[0. 0. 0. 8.],[0. 0. 0. 8.],[0. 0. 0. 8.]
[0.  0.  0.  8.5],[0.  0.  0.  8.5],[0.  0.  0.  8.5],[0.  0.  0.  8.5]
[0. 0. 0. 9.],[0. 0. 0. 9.],[0. 0. 0. 9.],[0. 0. 0. 9.]
[0.  0.  0.  9.5],[0.  0.  0.  9.5],[0.  0.  0.  9.5],[0.  0.  0.  9.5]
[ 0.  0.  0. 10.],[ 0.  0.  0. 10.],[ 0.  0.  0. 10.],[ 0.  0.  0. 10.]
[ 0.   0.   0.  10.5],[ 0.   0.   0.  10.5],[ 0.   0.   0.  10.5],[ 0.   0.   0.  10.5]
