Sat 8 Raw Estimation History
"Data Order is: X Estimate, Y Estimate, Z Estimate, Time"
[ 0.  0.  0. 11.],[ 0.  0.  0. 11.],[ 0.  0.  0. 11.],[ 0.  0.  0. 11.]
[ 0.   0.   0.  11.5],[ 0.   0.   0.  11.5],[ 0.   0.   0.  11.5],[ 0.   0.   0.  11.5]
[ 0.  0.  0. 12.],[ 0.  0.  0. 12.],[ 0.  0.  0. 12.],[ 0.  0.  0. 12.]
[ 0.   0.   0.  12.5],[ 0.   0.   0.  12.5],[ 0.   0.   0.  12.5],[ 0.   0.   0.  12.5]
[ 0.  0.  0. 13.],[ 0.  0.  0. 13.],[ 0.  0.  0. 13.],[ 0.  0.  0. 13.]
[ 0.   0.   0.  13.5],[ 0.   0.   0.  13.5],[ 0.   0.   0.  13.5],[ 0.   0.   0.  13.5]
[ 0.  0.  0. 14.],[ 0.  0.  0. 14.],[ 0.  0.  0. 14.],[ 0.  0.  0. 14.]
[ 0.   0.   0.  14.5],[ 0.   0.   0.  14.5],[ 0.   0.   0.  14.5],[ 0.   0.   0.  14.5]
[ 0.  0.  0. 15.],[ 0.  0.  0. 15.],[ 0.  0.  0. 15.],[ 0.  0.  0. 15.]
[ 0.   0.   0.  15.5],[ 0.   0.   0.  15.5],[ 0.   0.   0.  15.5],[ 0.   0.   0.  15.5]
[ 0.  0.  0. 16.],[ 0.  0.  0. 16.],[ 0.  0.  0. 16.],[ 0.  0.  0. 16.]
[ 0.   0.   0.  16.5],[ 0.   0.   0.  16.5],[ 0.   0.   0.  16.5],[ 0.   0.   0.  16.5]
[ 0.  0.  0. 17.],[ 0.  0.  0. 17.],[ 0.  0.  0. 17.],[ 0.  0.  0. 17.]
[ -16.28128997  -82.66959708 6374.58783922   17.5       ],[ 0.   0.   0.  17.5],[   9.99347293 -180.25773008 6394.64012441   17.5       ],[ 0.   0.   0.  17.5]
[-5.80169424e-01 -8.86010939e+01  6.39926931e+03  1.80000000e+01],[-1.26844848e+00  8.77656648e+01  6.37182273e+03  1.80000000e+01],[ -12.05819546 -203.01400825 6359.91492746   18.        ],[ 0.  0.  0. 18.]
[  25.81234236 -102.74915987 6387.09085444   18.5       ],[-3.84022348e+00  1.25082272e+02  6.38034245e+03  1.85000000e+01],[-6.00433591e+00 -1.94314075e+02  6.38438315e+03  1.85000000e+01],[-4.84141380e+00  2.03059773e+02  6.39078672e+03  1.85000000e+01]
[   9.07312815  -90.71815405 6377.00148868   19.        ],[ -16.69203591   88.76636189 6393.80610635   19.        ],[  18.32471048 -203.13177894 6357.03471893   19.        ],[ -20.18639567  190.45682839 6372.5367436    19.        ]
[ 1.92216729e+00 -9.08877838e+01  6.36083658e+03  1.95000000e+01],[  22.6455172   115.316825   6386.98899291   19.5       ],[ 2.24118714e+00 -2.00314704e+02  6.37324690e+03  1.95000000e+01],[ -11.00440541  174.05193704 6379.74038712   19.5       ]
[ 6.06463493e-01 -1.11755146e+02  6.41292592e+03  2.00000000e+01],[ -15.70924262  107.320414   6375.2048491    20.        ],[  12.43406223 -180.89010355 6379.07353671   20.        ],[  22.2816501   213.11639705 6376.79060231   20.        ]
[   9.72769153 -103.47213327 6379.61724719   20.5       ],[ -17.344643     74.30488326 6364.27255294   20.5       ],[ -18.0685684  -199.85629437 6386.69883836   20.5       ],[5.29553257e+00 1.88292056e+02 6.36208177e+03 2.05000000e+01]
[ 4.67936271e+00 -1.11280003e+02  6.38769331e+03  2.10000000e+01],[3.41175788e+00 7.37546356e+01 6.38027444e+03 2.10000000e+01],[ 1.10664318e-01 -2.01630448e+02  6.36657003e+03  2.10000000e+01],[  -8.42551955  215.41557165 6367.45176072   21.        ]
[-1.75586854e+00 -9.81666315e+01  6.36879900e+03  2.15000000e+01],[  25.23910187  124.53275806 6390.27155919   21.5       ],[   7.88275888 -214.32472341 6380.1332008    21.5       ],[ -17.3596139   232.35848581 6399.37794431   21.5       ]
[  32.47886486 -104.86423014 6388.47142205   22.        ],[6.02363302e+00 1.26406508e+02 6.39775120e+03 2.20000000e+01],[ 5.34101277e+00 -2.22365387e+02  6.40381739e+03  2.20000000e+01],[   7.10913562  220.94708023 6396.64514414   22.        ]
[ 1.22652025e+00 -1.28677122e+02  6.38854967e+03  2.25000000e+01],[ -10.83782929  112.03064039 6377.52666831   22.5       ],[  15.68793269 -200.83038016 6343.51543295   22.5       ],[ -15.13095307  204.82738159 6400.01273729   22.5       ]
[ -10.88958121 -116.71850863 6386.58991415   23.        ],[   6.60393935  106.64613698 6391.7534235    23.        ],[ 1.92178224e+00 -2.24546214e+02  6.37551582e+03  2.30000000e+01],[   7.39992238  242.00308993 6362.76630666   23.        ]
[  22.31907384 -138.95685824 6402.08580905   23.5       ],[  11.11223475  123.13276844 6389.19727599   23.5       ],[ -15.86356432 -240.69487633 6355.17977214   23.5       ],[  -7.42554447  238.53585867 6388.8155012    23.5       ]
[  20.86518121 -156.31624103 6396.01980114   24.        ],[  -7.93132074  130.27864062 6372.26115705   24.        ],[-5.25269031e+00 -2.35318944e+02  6.40590636e+03  2.40000000e+01],[1.58204675e+00 2.14187906e+02 6.35801604e+03 2.40000000e+01]
[ -38.77358942 -132.46636932 6369.61857122   24.5       ],[  11.15809611  134.87865316 6384.82935647   24.5       ],[  13.98381132 -245.05116177 6378.7150063    24.5       ],[ -12.22249706  238.72434545 6375.95853066   24.5       ]
[ -15.41567328  -99.91846849 6375.42729256   25.        ],[ -14.28797528  132.6916854  6394.30803935   25.        ],[  10.097159   -256.06023038 6350.00485476   25.        ],[  17.02755838  236.14528675 6366.96607922   25.        ]
[ -15.87711761 -130.42174588 6372.39515707   25.5       ],[  17.07213626  105.67813216 6378.44926175   25.5       ],[ 5.64626458e+00 -2.63367906e+02  6.35167484e+03  2.55000000e+01],[2.06995996e+00 2.54200709e+02 6.38479514e+03 2.55000000e+01]
[ -33.08477867 -124.14967562 6380.37719477   26.        ],[ -21.70441609  138.5947492  6402.86029731   26.        ],[ 6.85114686e-01 -2.45231144e+02  6.39210214e+03  2.60000000e+01],[-1.64744802e+00  2.40850048e+02  6.35945181e+03  2.60000000e+01]
[-1.61298812e+00 -1.36466641e+02  6.38093640e+03  2.65000000e+01],[ -16.48313812  130.49504213 6365.39977501   26.5       ],[  10.05069321 -252.19239855 6384.69434707   26.5       ],[5.29348006e-02 2.48836279e+02 6.33242884e+03 2.65000000e+01]
[  15.00817921 -124.16979099 6369.44592468   27.        ],[-8.64100194e-01  1.20464715e+02  6.37640353e+03  2.70000000e+01],[  19.46268736 -258.58798929 6375.16633943   27.        ],[-6.18745386e+00  2.94082452e+02  6.37233259e+03  2.70000000e+01]
[ -17.91172402 -154.48987388 6368.86417171   27.5       ],[-5.07305727e+00  1.41978218e+02  6.38661515e+03  2.75000000e+01],[  -8.95378385 -265.76417465 6361.07164569   27.5       ],[   7.29226366  286.64924128 6351.87934288   27.5       ]
[ 3.06637165e-01 -1.46521531e+02  6.38584602e+03  2.80000000e+01],[ -13.46390885  131.65553689 6381.29215545   28.        ],[-1.79615096e+00 -3.04856297e+02  6.36544715e+03  2.80000000e+01],[   9.14086205  265.80041063 6350.18486952   28.        ]
[-5.83352692e+00 -1.36077130e+02  6.37045075e+03  2.85000000e+01],[  19.33811571  156.27898508 6378.18476938   28.5       ],[  15.92265012 -279.86904883 6336.86952977   28.5       ],[1.41907631e+00 2.73830447e+02 6.36548733e+03 2.85000000e+01]
[ 1.08019908e+00 -1.42348168e+02  6.38954948e+03  2.90000000e+01],[  -9.53270484  150.69267866 6373.68843163   29.        ],[ -10.34149895 -260.70315706 6385.85954375   29.        ],[-1.22852151e+00  2.96848244e+02  6.38368022e+03  2.90000000e+01]
[-4.58132695e+00 -1.18539023e+02  6.35804504e+03  2.95000000e+01],[-2.33604610e-01  1.69153807e+02  6.38933681e+03  2.95000000e+01],[-3.90384628e+00 -2.93679386e+02  6.38707045e+03  2.95000000e+01],[  22.44428345  301.90133454 6364.92784381   29.5       ]
[-1.77555019e+00 -1.37537940e+02  6.39375569e+03  3.00000000e+01],[4.09439077e+00 1.50222539e+02 6.35694690e+03 3.00000000e+01],[ -12.84215619 -291.05419427 6364.73339293   30.        ],[ -12.18902043  314.25083757 6378.6712523    30.        ]
