Time,Satellite,Target,Sender,Received Alpha,Received Beta,Receiver,Sent Alpha,Sent Beta
0.000,Sat1,Targ1,,,,,,
1.000,Sat1,Targ1,,,,,,
2.000,Sat1,Targ1,,,,,,
3.000,Sat1,Targ1,,,,,,
4.000,Sat1,Targ1,,,,,,
5.000,Sat1,Targ1,,,,,,
6.000,Sat1,Targ1,,,,,,
7.000,Sat1,Targ1,,,,,,
8.000,Sat1,Targ1,,,,,,
9.000,Sat1,Targ1,,,,,,
10.000,Sat1,Targ1,,,,,,
11.000,Sat1,Targ1,,,,,,
12.000,Sat1,Targ1,,,,Sat2,-0.015,-0.010
13.000,Sat1,Targ1,,,,Sat2,-0.031,0.014
14.000,Sat1,Targ1,,,,Sat2,-0.015,0.016
15.000,Sat1,Targ1,,,,Sat2,0.018,-0.022
16.000,Sat1,Targ1,,,,Sat2,0.028,-0.028
17.000,Sat1,Targ1,,,,Sat2,-0.014,-0.004
18.000,Sat1,Targ1,,,,Sat2,-0.003,0.022
19.000,Sat1,Targ1,,,,Sat2,-0.039,0.009
20.000,Sat1,Targ1,,,,Sat2,0.002,-0.001
21.000,Sat1,Targ1,,,,Sat2,-0.032,-0.003
22.000,Sat1,Targ1,,,,Sat2,-0.001,-0.017
23.000,Sat1,Targ1,,,,Sat2,-0.000,-0.039
24.000,Sat1,Targ1,,,,Sat2,-0.019,-0.008
25.000,Sat1,Targ1,,,,Sat2,-0.031,-0.026
26.000,Sat1,Targ1,,,,Sat2,0.007,0.006
27.000,Sat1,Targ1,,,,Sat2,0.001,-0.001
28.000,Sat1,Targ1,,,,Sat2,-0.010,-0.034
29.000,Sat1,Targ1,,,,Sat2,0.027,-0.027
30.000,Sat1,Targ1,,,,Sat2,0.018,0.019
31.000,Sat1,Targ1,,,,Sat2,-0.009,-0.036
32.000,Sat1,Targ1,,,,Sat2,0.005,0.034
33.000,Sat1,Targ1,,,,Sat2,-0.018,0.010
34.000,Sat1,Targ1,,,,Sat2,-0.028,0.016
35.000,Sat1,Targ1,,,,Sat2,-0.024,0.029
36.000,Sat1,Targ1,Sat2,6.709,6.953,Sat2,-0.019,-0.003
37.000,Sat1,Targ1,Sat2,6.371,6.510,Sat2,-0.026,0.008
