Time,Satellite,Target,Sender,Received Alpha,Received Beta,Receiver,Sent Alpha,Sent Beta
0.000,Sat3,Targ1,,,,,,
1.000,Sat3,Targ1,,,,,,
2.000,Sat3,Targ1,,,,,,
3.000,Sat3,Targ1,,,,,,
4.000,Sat3,Targ1,,,,,,
5.000,Sat3,Targ1,,,,,,
6.000,Sat3,Targ1,,,,,,
7.000,Sat3,Targ1,,,,,,
8.000,Sat3,Targ1,,,,,,
9.000,Sat3,Targ1,,,,,,
10.000,Sat3,Targ1,,,,,,
11.000,Sat3,Targ1,,,,,,
12.000,Sat3,Targ1,,,,,,
13.000,Sat3,Targ1,,,,,,
14.000,Sat3,Targ1,,,,,,
15.000,Sat3,Targ1,,,,,,
16.000,Sat3,Targ1,,,,,,
17.000,Sat3,Targ1,,,,,,
18.000,Sat3,Targ1,,,,,,
19.000,Sat3,Targ1,,,,,,
20.000,Sat3,Targ1,,,,,,
21.000,Sat3,Targ1,,,,,,
22.000,Sat3,Targ1,,,,,,
23.000,Sat3,Targ1,,,,,,
24.000,Sat3,Targ1,,,,,,
25.000,Sat3,Targ1,,,,,,
26.000,Sat3,Targ1,,,,,,
27.000,Sat3,Targ1,,,,,,
28.000,Sat3,Targ1,,,,,,
29.000,Sat3,Targ1,,,,,,
30.000,Sat3,Targ1,,,,,,
31.000,Sat3,Targ1,,,,,,
32.000,Sat3,Targ1,,,,,,
33.000,Sat3,Targ1,,,,,,
34.000,Sat3,Targ1,,,,,,
35.000,Sat3,Targ1,,,,,,
36.000,Sat3,Targ1,Sat2,6.712,6.939,,,
37.000,Sat3,Targ1,Sat2,6.397,6.503,,,
38.000,Sat3,Targ1,Sat2,6.002,6.134,,,
39.000,Sat3,Targ1,Sat2,5.601,5.691,,,
40.000,Sat3,Targ1,Sat2,5.187,5.266,,,
41.000,Sat3,Targ1,Sat2,4.760,4.830,,,
42.000,Sat3,Targ1,Sat2,4.337,4.424,,,
43.000,Sat3,Targ1,Sat2,3.911,3.939,,,
44.000,Sat3,Targ1,Sat2,3.471,3.521,,,
45.000,Sat3,Targ1,Sat2,3.053,3.046,,,
46.000,Sat3,Targ1,Sat2,2.617,2.590,,,
47.000,Sat3,Targ1,Sat2,2.122,2.163,,,
48.000,Sat3,Targ1,Sat2,1.686,1.700,,,
49.000,Sat3,Targ1,Sat2,1.221,1.245,,,
50.000,Sat3,Targ1,Sat2,0.758,0.788,,,
51.000,Sat3,Targ1,Sat2,0.293,0.333,,,
52.000,Sat3,Targ1,Sat1,-0.004,0.015,,,
53.000,Sat3,Targ1,Sat1,-0.040,-0.005,,,
54.000,Sat3,Targ1,Sat1,0.050,0.015,,,
55.000,Sat3,Targ1,Sat1,-0.004,-0.036,,,
56.000,Sat3,Targ1,Sat1,-0.039,-0.044,,,
57.000,Sat3,Targ1,Sat1,-0.011,-0.025,,,
58.000,Sat3,Targ1,Sat1,-0.010,0.030,,,
59.000,Sat3,Targ1,Sat1,-0.038,-0.001,,,
60.000,Sat3,Targ1,Sat1,-0.024,0.051,,,
61.000,Sat3,Targ1,Sat1,0.008,-0.007,,,
62.000,Sat3,Targ1,Sat1,-0.001,-0.021,,,
63.000,Sat3,Targ1,Sat1,-0.033,0.007,,,
64.000,Sat3,Targ1,Sat1,-0.006,0.016,,,
65.000,Sat3,Targ1,Sat1,-0.028,0.017,,,
66.000,Sat3,Targ1,Sat1,-0.040,-0.018,,,
67.000,Sat3,Targ1,Sat1,-0.015,0.042,,,
68.000,Sat3,Targ1,Sat1,-0.031,-0.022,,,
